,act_2017state,act_2017participation,act_2017english,act_2017math,act_2017reading,act_2017science,act_2017composite,sat_2017state,sat_2017participation,sat_2017evidence-based_reading_and_writing,sat_2017math,sat_2017total,act_2018state,act_2018participation,act_2018composite,sat_2018state,sat_2018participation,sat_2018evidence-based_reading_and_writing,sat_2018math,sat_2018total
0,Alabama,100.0,18.9,18.4,19.7,19.4,19.2,Alabama,5.0,593,572,1165,Alabama,100.0,19.1,Alabama,6.0,595,571,1166
1,Alaska,65.0,18.7,19.8,20.4,19.9,19.8,Alaska,38.0,547,533,1080,Alaska,33.0,20.8,Alaska,43.0,562,544,1106
2,Arizona,62.0,18.6,19.8,20.1,19.8,19.7,Arizona,30.0,563,553,1116,Arizona,66.0,19.2,Arizona,29.0,577,572,1149
3,Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,Arkansas,3.0,614,594,1208,Arkansas,100.0,19.4,Arkansas,5.0,592,576,1169
4,California,31.0,22.5,22.7,23.1,22.2,22.8,California,53.0,531,524,1055,California,27.0,22.7,California,60.0,540,536,1076
5,Colorado,100.0,20.1,20.3,21.2,20.9,20.8,Colorado,11.0,606,595,1201,Colorado,30.0,23.9,Colorado,100.0,519,506,1025
6,Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,Connecticut,100.0,530,512,1041,Connecticut,26.0,25.6,Connecticut,100.0,535,519,1053
7,Delaware,18.0,24.1,23.4,24.8,23.6,24.1,Delaware,100.0,503,492,996,Delaware,17.0,23.8,Delaware,100.0,505,492,998
8,District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,District of Columbia,100.0,482,468,950,District of Columbia,32.0,23.6,District of Columbia,92.0,497,480,977
9,Florida,73.0,19.0,19.4,21.0,19.4,19.8,Florida,83.0,520,497,1017,Florida,66.0,19.9,Florida,56.0,550,549,1099
10,Georgia,55.0,21.0,20.9,22.0,21.3,21.4,Georgia,61.0,535,515,1050,Georgia,53.0,21.4,Georgia,70.0,542,522,1064
11,Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,Hawaii,55.0,544,541,1085,Hawaii,89.0,18.9,Hawaii,56.0,480,530,1010
12,Idaho,38.0,21.9,21.8,23.0,22.1,22.3,Idaho,93.0,513,493,1005,Idaho,36.0,22.3,Idaho,100.0,508,493,1001
13,Illinois,93.0,21.0,21.2,21.6,21.3,21.4,Illinois,9.0,559,556,1115,Illinois,43.0,23.9,Illinois,99.0,513,506,1019
14,Indiana,35.0,22.0,22.4,23.2,22.3,22.6,Indiana,63.0,542,532,1074,Indiana,32.0,22.5,Indiana,63.0,542,532,1074
